"단과대학","학과/학부","수시","정시","수시이월","수시최종","정시최종","수시비율","정시비율","남","여","여/전체"
"인문대학","광역",56,46,1,55,47,0.539215686,0.460784314,48,54,0.529411765
"인문대학","국어국문",15,0,0,15,0,1,0,2,13,0.866666667
"인문대학","중어중문",12,0,0,12,0,1,0,2,10,0.833333333
"인문대학","영어영문",15,0,0,15,0,1,0,2,13,0.866666667
"인문대학","불어불문",10,0,0,10,0,1,0,3,7,0.7
"인문대학","독어독문",10,0,0,10,0,1,0,3,7,0.7
"인문대학","노어노문",10,0,0,10,0,1,0,3,7,0.7
"인문대학","서어서문",10,0,0,10,0,1,0,2,8,0.8
"인문대학","언어학",10,0,0,10,0,1,0,2,8,0.8
"인문대학","아시아언어문명",10,0,0,10,0,1,0,0,10,1
"인문대학","국사",12,0,0,12,0,1,0,4,8,0.666666667
"인문대학","동양사",10,0,0,10,0,1,0,5,5,0.5
"인문대학","서양사",10,0,0,10,0,1,0,4,6,0.6
"인문대학","고고미술사",10,0,0,10,0,1,0,3,7,0.7
"인문대학","철학",12,0,0,12,0,1,0,5,7,0.583333333
"인문대학","종교학",10,0,0,10,0,1,0,3,7,0.7
"인문대학","미학",10,0,0,10,0,1,0,1,9,0.9
"사회과학대학","정치외교",58,16,0,58,16,0.783783784,0.216216216,36,38,0.513513514
"사회과학대학","경제학",104,50,2,102,52,0.662337662,0.337662338,111,43,0.279220779
"사회과학대학","사회학",17,10,0,17,10,0.62962963,0.37037037,7,20,0.740740741
"사회과학대학","인류학",20,0,0,20,0,1,0,5,15,0.75
"사회과학대학","심리학",15,9,0,15,9,0.625,0.375,9,15,0.625
"사회과학대학","지리학",16,8,0,16,8,0.666666667,0.333333333,19,5,0.208333333
"사회과학대학","사회복지학",7,13,1,6,14,0.3,0.7,11,9,0.45
"사회과학대학","언론정보학",21,0,0,21,0,1,0,5,16,0.761904762
"자연과학대학","수리과학부",29,6,3,26,9,0.742857143,0.257142857,32,3,0.085714286
"자연과학대학","통계학과",25,0,0,25,0,1,0,19,5,0.208333333
"자연과학대학","물리학",36,7,0,36,7,0.837209302,0.162790698,39,4,0.093023256
"자연과학대학","천문학",7,4,0,7,4,0.636363636,0.363636364,11,0,0
"자연과학대학","화학",35,8,3,32,11,0.744186047,0.255813953,26,17,0.395348837
"자연과학대학","생명과학",48,10,4,44,14,0.75862069,0.24137931,38,20,0.344827586
"자연과학대학","지구환경",36,0,7,29,7,0.805555556,0.194444444,24,12,0.333333333
"간호대학","간호학",53,10,12,41,22,0.650793651,0.349206349,9,55,0.859375
"경영대학","경영학",77,58,1,76,59,0.562962963,0.437037037,75,60,0.444444444
"공과대학","건설환경",42,14,10,32,24,0.571428571,0.428571429,49,6,0.109090909
"공과대학","기계공학",86,29,6,80,35,0.695652174,0.304347826,104,10,0.087719298
"공과대학","우주항공",29,9,0,29,9,0.763157895,0.236842105,33,5,0.131578947
"공과대학","재료공학",66,22,9,57,31,0.647727273,0.352272727,72,16,0.181818182
"공과대학","전기정보공학",117,39,6,111,45,0.711538462,0.288461538,137,20,0.127388535
"공과대학","컴퓨터공학",41,14,0,41,14,0.745454545,0.254545455,53,2,0.036363636
"공과대학","화학생물공학",66,22,9,57,31,0.647727273,0.352272727,72,16,0.181818182
"공과대학","건축학",41,10,6,35,16,0.68627451,0.31372549,41,10,0.196078431
"공과대학","산업공학",20,12,0,20,12,0.625,0.375,28,4,0.125
"공과대학","에너지자원공학",25,0,5,20,5,0.8,0.2,22,3,0.12
"공과대학","원자핵공학",28,4,4,24,8,0.75,0.25,29,3,0.09375
"공과대학","조선해양공학",35,11,7,28,18,0.608695652,0.391304348,42,4,0.086956522
"농업생명과학대학","농경제사회학",30,12,0,30,12,0.714285714,0.285714286,25,17,0.404761905
"농업생명과학대학","식물생산과학",44,14,12,32,26,0.551724138,0.448275862,34,24,0.413793103
"농업생명과학대학","산림과학",35,9,8,27,17,0.613636364,0.386363636,29,14,0.325581395
"농업생명과학대학","식품동물생명공학",30,11,9,21,20,0.512195122,0.487804878,20,21,0.512195122
"농업생명과학대학","응용생물화학",31,8,5,26,13,0.666666667,0.333333333,24,16,0.4
"농업생명과학대학","조경지역시스템공학",27,10,10,17,20,0.459459459,0.540540541,27,10,0.27027027
"농업생명과학대학","바이오시스템소재학",26,10,4,22,14,0.611111111,0.388888889,27,10,0.27027027
"미술대학","디자인공예",16,0,1,15,1,0.9375,0.0625,1,15,0.9375
"미술대학","디자인디자인",29,0,2,27,2,0.931034483,0.068965517,6,23,0.793103448
"미술대학","동양화",16,0,2,14,2,0.875,0.125,4,12,0.75
"미술대학","서양화",21,0,0,21,0,1,0,1,20,0.952380952
"미술대학","조소",20,0,1,19,1,0.95,0.05,7,13,0.65
"사범대학","교육학",12,0,1,11,1,0.916666667,0.083333333,2,11,0.846153846
"사범대학","국어교육",15,10,1,14,11,0.56,0.44,10,15,0.6
"사범대학","영어교육",17,8,0,17,8,0.68,0.32,3,22,0.88
"사범대학","독어교육",15,0,2,13,2,0.866666667,0.133333333,4,11,0.733333333
"사범대학","불어교육",15,0,0,15,0,1,0,4,11,0.733333333
"사범대학","사회교육",12,6,0,12,6,0.666666667,0.333333333,6,12,0.666666667
"사범대학","역사교육",12,6,1,11,7,0.611111111,0.388888889,11,7,0.388888889
"사범대학","지리교육",6,12,2,4,14,0.222222222,0.777777778,8,10,0.555555556
"사범대학","윤리교육",18,0,3,15,3,0.833333333,0.166666667,4,14,0.777777778
"사범대학","수학교육",20,6,3,17,9,0.653846154,0.346153846,18,9,0.333333333
"사범대학","물리교육",13,8,5,8,13,0.380952381,0.619047619,17,4,0.19047619
"사범대학","화학교육",13,8,5,8,13,0.380952381,0.619047619,13,8,0.380952381
"사범대학","생물교육",13,8,7,6,15,0.285714286,0.714285714,10,11,0.523809524
"사범대학","지구과학교육",13,8,5,8,13,0.380952381,0.619047619,12,9,0.428571429
"사범대학","체육교육",16,22,6,10,28,0.263157895,0.736842105,28,10,0.263157895
"생활과학대학","소비자학",14,10,0,14,10,0.583333333,0.416666667,9,15,0.625
"생활과학대학","아동가족학",16,7,2,14,9,0.608695652,0.391304348,5,18,0.782608696
"생활과학대학","식품영양학",20,10,8,12,18,0.4,0.6,12,18,0.6
"생활과학대학","의류학",20,10,3,17,13,0.566666667,0.433333333,10,20,0.666666667
"수의과대학","수의예",40,0,4,36,4,0.9,0.1,19,21,0.525
"음악대학","성악과",27,0,0,27,0,1,0,12,14,0.538461538
"음악대학","작곡",20,0,0,20,0,1,0,8,7,0.466666667
"음악대학","기악",73,0,0,73,0,1,0,19,51,0.728571429
"음악대학","국악",28,0,0,28,0,1,0,7,20,0.740740741
"의과대학","의예과",105,30,0,105,30,0.777777778,0.222222222,99,36,0.266666667
"자유전공","자유전공",123,0,7,116,7,0.943089431,0.056910569,53,70,0.569105691
